ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,VizSide
46352,Duncan Harvey,M,28,183,102,Australia-1,AUS,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,NA,Gender
46352,Duncan Harvey,M,32,183,102,Australia,AUS,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,NA,Gender
46352,Duncan Harvey,M,32,183,102,Australia,AUS,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,NA,Gender
46357,Lesleigh Anne Harvey (-Mayes),F,15,159,56,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,NA,Gender
46357,Lesleigh Anne Harvey (-Mayes),F,15,159,56,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,NA,Gender
46357,Lesleigh Anne Harvey (-Mayes),F,15,159,56,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,Gender
46360,"Michael ""Mike"" Harvey",M,21,175,68,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,NA,Gender
46361,Natalie Anne Harvey,F,21,164,48,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",NA,Gender
46361,Natalie Anne Harvey,F,25,164,48,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",NA,Gender
46363,Paula Harvey,F,29,166,60,Australia,AUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",NA,Gender
46381,Burak Hasan,M,23,177,68,Australia,AUS,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,NA,Gender
46411,Peter James Haselhurst,M,27,181,77,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,NA,Gender
46450,Juliet Haslam,F,23,174,64,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,NA,Gender
46450,Juliet Haslam,F,27,174,64,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,Gender
46450,Juliet Haslam,F,31,174,64,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Gender
46565,Adrian Hatcher,M,30,183,89,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,NA,Gender
46606,Marina Ann Hatzakis,F,24,180,73,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Double Sculls,NA,Gender
46606,Marina Ann Hatzakis,F,24,180,73,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Quadruple Sculls,NA,Gender
46606,Marina Ann Hatzakis,F,28,180,73,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Double Sculls,NA,Gender
46755,Neil Andrew Hawgood,M,26,179,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,NA,Gender
46756,Brett Geoffrey Hawke,M,25,186,86,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,NA,Gender
46756,Brett Geoffrey Hawke,M,29,186,86,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,NA,Gender
46758,Rechelle Margaret Hawkes,F,21,165,57,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,Gender
46758,Rechelle Margaret Hawkes,F,25,165,57,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,NA,Gender
46758,Rechelle Margaret Hawkes,F,29,165,57,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,Gender
46758,Rechelle Margaret Hawkes,F,33,165,57,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Gender
46792,Gerald Hay,M,18,157,57,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,NA,Gender
46795,Lachlan Hay,M,19,178,71,Australia,AUS,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",NA,Gender
46795,Lachlan Hay,M,23,178,71,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",NA,Gender
46824,Joseph Haydar,M,25,167,74,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Middleweight,NA,Gender
46847,"Matthew ""Matt"" Hayes",M,32,170,77,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,NA,Gender
46848,Neville Ronald Hayes,M,16,183,80,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Butterfly,Silver,Gender
46848,Neville Ronald Hayes,M,16,183,80,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Gender
46855,Damon Hayler,M,29,184,87,Australia,AUS,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Boardercross,NA,Gender
46855,Damon Hayler,M,33,184,87,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Boardercross,NA,Gender
46857,Brett Ronald Hayman,M,24,165,54,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,NA,Gender
46857,Brett Ronald Hayman,M,28,165,54,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Gender
46858,Gregory Loyal Hayman,M,30,156,52,Australia,AUS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Flyweight,NA,Gender
46885,Ross William Haywood,M,29,181,67,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Marathon,NA,Gender
46885,Ross William Haywood,M,29,181,67,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
46899,Michael Gary Hazel,M,23,190,78,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA,Gender
46955,Christine Rayoni Head,F,24,170,56,Australia,AUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Singles,NA,Gender
46955,Christine Rayoni Head,F,24,170,56,Australia-1,AUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,NA,Gender
46960,Shane Douglas Heal,M,21,183,80,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,NA,Gender
46960,Shane Douglas Heal,M,25,183,80,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,NA,Gender
46960,Shane Douglas Heal,M,30,183,80,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,NA,Gender
46960,Shane Douglas Heal,M,33,183,80,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,NA,Gender
46980,John Alastair Heard,M,25,186,73,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA,Gender
46981,Sarah Heard,F,24,176,72,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,NA,Gender
46990,"Suzanne ""Sue"" Hearn",F,60,165,68,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",NA,Gender
46990,"Suzanne ""Sue"" Hearn",F,60,165,68,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",NA,Gender
47020,Trisha Margaret Heberle,F,25,177,72,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,NA,Gender
47130,Clyde Hefer,M,23,187,80,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze,Gender
47134,Nick Heffernan,M,26,184,90,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",NA,Gender
47134,Nick Heffernan,M,26,184,90,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",NA,Gender
47159,Francis Hegerty,M,25,187,95,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Silver,Gender
47159,Francis Hegerty,M,29,187,95,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,NA,Gender
47282,Monique Heinke,F,27,190,75,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,NA,Gender
47282,Monique Heinke,F,31,190,75,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,NA,Gender
47456,"Jorgen ""Jrn"" Hellner",M,30,182,75,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,NA,Gender
47478,Mathew Glen Helm,M,19,170,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,NA,Gender
47478,Mathew Glen Helm,M,19,170,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Platform,NA,Gender
47478,Mathew Glen Helm,M,23,170,62,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,Silver,Gender
