ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
39457,Peter Genders,M,25,177,75,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
39511,Ashleigh Gentle,F,25,171,52,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,NA
39542,Bevan Christopher George,M,27,190,87,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
39542,Bevan Christopher George,M,31,190,87,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
39543,Cayla George,F,27,192,90,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
39551,Emma Louise George,F,25,172,60,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,NA
39651,Simon Gerada,M,19,174,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Singles,NA
39651,Simon Gerada,M,19,174,62,Australia-1,AUS,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,NA
39653,Kelly Geraghty,F,23,171,56,Australia,AUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,NA
39805,Tess Gerrand,F,24,184,83,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,NA
39806,Simon Gerrans,M,28,170,65,Australia,AUS,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",NA
